Company name,Booth number,Company location,Twitter,Linkedin,Facebook,Website,Description,Focus areas
Henlius,Booth 1635,"Xuhui District, Shanghai, China",,https://www.linkedin.com/company/henlius/,,https://www.henlius.com/en/index.html,"Henlius (2696.HK) is a global biopharmaceutical company with the vision to offer high-quality, affordable and innovative biologic medicines for patients worldwide with a focus on oncology, autoimmune diseases and ophthalmic diseases. Up to date, 5 products have been launched in China, 1 approved for marketing in overseas markets, 18 indications approved worldwide, 1 New Drug Application (NDA) accepted for review in China, and 1 Biologics License Application (BLA) accepted for review in the U.S. Since its inception in 2010, Henlius has built an integrated biopharmaceutical platform with core capabilities of high-efficiency and innovation embedded throughout the whole product life cycle including R&D, manufacturing and commercialization. It has established global innovation centers and Shanghai-based manufacturing facilities in line with global Good Manufacturing Practice (GMP), including Xuhui Plant certificated by China and the EU GMP and Songjiang First Plant certificated by China GMP.","Preclinical, Clinical"
HEDERA 22,Booth 1664,"LIÈGE, Belgium",,https://www.linkedin.com/company/hedera-22/?viewAsMember=true,,http://www.hedera22.com,"HEDERA-22 is a spin-off from ULiege specialized in bioinformatics, microbiology, genetic engineering and metabolomics. HEDERA-22 aims to propose to pharmaceutical and agrochemical companies novel process for the discovery of unknown bioactive molecules. Its unique strategy based on predictive bio informatic approaches and on an exclusive data base of gene regulation mechanisms allows to target strains of interest as well as production conditions leading to the expression of cryptic metabolites. This strategy substantially speeds up the discovery of new compounds versus the classical random screening methods with low success factor. HEDERA-22 is building its own next generation biomolecules library with identified activity, which is made available for screening to partners for licensing or partnership. Its objective is to participate in the challenge for better health and a better planet by developing sustainable products for pharma and plant protection.",Preclinical
HNP,Booth 2065,"Bologna, Bologna, Italy",,,,https://hnpgroup.eu/,,
Hidow,Booth 3655,"Kissimmee, Florida, United States",,,,http://www.hidow.com,,
Huons Global,Booth 2784,"Seongnam-si, Korea, Republic of",,,,https://huonsglobal.com/eng/home.php,,"Clinical, Market - Generics/OTC, Industrial Chemicals/Products"
"Hubei Gedian Humanwell Pharmaceutical Excipients Co., Ltd.",Booth 2275,"Ezhou, Hubei, China",,,,http://www.gdrfyf.cn,"Hubei Gedian Humanwell Pharmaceutical Excipients Co., Ltd. (www.gdrfyf.cn) is a professional pharmaceutical excipient high-tech enterprise integrating R & D, production and sales under the listed company Humanwell Pharmaceutical (Group) Co., Ltd. (stock code: 600079.SH, Hubei Provincial Pharmaceutical Leading Enterprise, Top 20 Pharmaceutical Industry of China). The company has passed ISO9001, ISO1400, ISO45001, GMP and CNAS (China National Accreditation Service for Conformity Assessment). The company has built lots of cGMP-compliant pharmaceutical excipient production workshops to meet the production of conventional, high-risk and biological pharmaceutical excipients. According to CP/EP/USP/JP, various products have been manufactured and registered with DMF in US FDA .",Industrial Chemicals/Products
"Huaqing Tianmu Biotechnology Co., Ltd.",Booth 3657,"Luoyanbg Ciy, Henan Province, Henan, China",,,,http://www.tmaxtree.com,"Tmaxtree focuses on the development and industrialization of high-throughput biological breeding technology and equipment. More than ten kinds of products have been developed, including ARTP, single-cell droplet culture and screening, droplet continuous culture evolution and bioreaction on-line detection. The equipments have solved the ""bottleneck"" problems such as low efficiency of cell screening and difficulty in obtaining process and phenotypic data. The performance of each product has reached the international advanced level. These equipments constitute an high-throughput intelligent cell factory creation platform, which greatly improves the efficiency of screening and breeding.","Research Technology, Instrumentation, Bioinformatics, CRO & Analytical Labs, Consulting, Research Institute"
Henry County Development Authority,Booth 1957,"McDonough, Georgia, United States",,,,,,
"Holy Stone Healthcare Co., Ltd.",Booth 2543,"Taipei, Taiwan",,,,http://www.hshc.com.tw,,"Preclinical, Clinical"
HealthMatch,Booth 274,"Sydney, New South Wales, Australia",,https://www.linkedin.com/company/healthmatchptyltd/mycompany/,,http://www.healthmatch.io,Patient recruitment is hard. We’re on a mission to accelerate clinical research by promoting access and diversity in clinical trial recruitment.,
Healthyr,Booth 1879,"Prospect, Kentucky, United States",,https://www.linkedin.com/company/thehealthyrco/,https://www.facebook.com/search/top?q=healthyr,http://www.behealthyr.com,"At Healthyr, we seek to provide better care, improve health and reduce healthcare costs for all Americans. Our mission is to drive positive outcomes, health change and health equity by providing affordable and accessible, virtual at-home health solutions to all individuals.",
Hogan Lovells,Booth 1465,"Washington, District of Columbia, United States",https://twitter.com/HLLifeSciences,https://www.linkedin.com/showcase/hogan-lovells-life-sciences/,,https://www.hoganlovells.com/,"Hogan Lovells is one of the world's leading law firms with a preeminent reputation in fielding teams of lawyers that can address the broadest range of difficult regulatory, transaction, and litigation issues. We understand that legal challenges come from all directions, and we work together with you to solve the toughest legal issues in major industries and commercial centers around the world. Whether you’re expanding into new markets, considering capital from new sources, or dealing with increasingly complex regulation or disputes, we can help. Whether change brings opportunity, risk, or disruption, be ready by working with Hogan Lovells.",Legal
IDT Biologika,Booth 373,"Dessau-Rosslau, Germany",https://twitter.com/idtbiologika,https://www.linkedin.com/company/idtbiologika/,https://www.facebook.com/idtbiologika/,http://www.idt-biologika.com,"IDT Biologika is a global contract development and manufacturing organization for vaccines, cell & gene therapeutics, and fill-finish of other biologics. This includes end-to-end services from process development through drug substance manufacturing up to BSL-2, sterile liquid dosage filling & lyophilization, labeling & packaging to quality control & analytics.",CMO
Hyla Biotech,Booth 1751,"Curitiba, Paraná, Brazil",,,,,,
IKP Knowledge Park,Booth 3545,"Hyderabad, Telangana, India",https://twitter.com/IKP_SciencePark,https://www.linkedin.com/company/ikpknowledgepark/,https://www.facebook.com/ikpknowledgepark,http://ikpknowledgepark.com,"IKP Knowledge Park is a Research Park and Incubator in Genome Valley, Hyderabad and Bangalore, India, with the mission to advance deepteching and co-create solutions for tomorrow in health and plant systems.","Preclinical, Molecular/Cellular Diagnostics, Drug Delivery Device, Patient Monitoring Device, Environmental, Food & Feed inputs, Crop Production & enhancement, Consulting, Tech Transfer, Incubator/Technology Park"
Hypera Pharma,Booth 1751,"SÃƒÂ£o Paulo, São Paulo, Brazil",,,,http://hyperapharma.com.br,,
ICOSA EUROPE,Booth 1664,"BRUSSELS, Belgium",,,,http://www.icosa-europe.com,,
HUB BRUSSELS,Booth 1664,"BRUSSELS, Belgium",,,,https://hub.brussels/fr/,,
Illumina,Booth 1751,"São Paulo, São Paulo, Brazil",,,,http://www.illumina.com,"At Illumina, our goal is to apply innovative technologies to the analysis of genetic variation and function, making studies possible that were not even imaginable just a few years ago. It is mission critical for us to deliver innovative, flexible, and scalable solutions to meet the needs of our customers. As a global company that places high value on collaborative interactions, rapid delivery of solutions, and providing the highest level of quality, we strive to meet this challenge. Illumina innovative sequencing and array technologies are fueling groundbreaking advancements in life science research, translational and consumer genomics, and molecular diagnostics.",
Horizon Therapeutics,Booth 1751,"Deerfield, Illinois, United States",,,,,,
ichrogene,Booth 3279,"Suwon-si, Korea, Republic of",,,,http://www.ichrogene.com,“Personal Genetic Data-Driven Disease Prevention Solution Company”,"Molecular/Cellular Diagnostics, Non-Molecular Diagnostics, Research Technology, Bioinformatics, Digital Health"
ICON,Booth 3669,"Blue Bell, Pennsylvania, United States",https://twitter.com/ICONplc,https://www.linkedin.com/company/icon-plc-2,https://www.facebook.com/icon.plc.profile,http://www.iconplc.com,"ICON is a world-leading healthcare intelligence and clinical research organisation. From molecule to medicine, we advance clinical research providing outsourced development and commercialisation services to pharmaceutical, biotechnology, medical device and government and public health organisations. We develop new innovations, drive emerging therapies forward and improve patient lives. With headquarters in Dublin, Ireland, ICON employed approximately 41,100 employees in 111 locations in 53 countries as of December 31, 2022. For further information about ICON, visit: www.iconplc.com.",CRO & Analytical Labs
ICEX Spain Trade & Investment,Booth 443,"Chicago, Illinois, United States",,,,,,
ImmunAdd Inc.,Booth 843,"Taipei City, Taiwan",,,,,"Founded in 2021, ImmunAdd, Inc., is a privately held biopharmaceutical company on a mission to improve health through advances in adjuvant design and formulation.","Preclinical, Tech Transfer, University (Faculty), Research Institute, Incubator/Technology Park"
ICROM SRL,Booth 2065,"Concorezzo, Monza and Brianza, Italy",,,,http://www.icrom.com,,
IGES Institut GmbH,Booth 1445,"Berlin, Germany",,,,http://iges.com,,
iLoF,Booth 1575,"Porto, Portugal",https://twitter.com/iLoF_tech,https://www.linkedin.com/company/iloftech/,https://www.facebook.com/iloftech,https://ilof.tech/,iLoF is a digital health company pioneering a breakthrough AI-platform to accelerate the future of personalized drug discovery and development.,"Molecular/Cellular Diagnostics, Non-Molecular Diagnostics, Drug Delivery Device, Non Drug Delivery Device, Patient Monitoring Device, Research Technology, Instrumentation, Bioinformatics, Digital Health"
IDORSIA PHARMACEUTICALS CANADA,Booth 2049,"Montreal, Quebec, Canada",,,,,,
ICOSA,Booth 951,"PARIS, Ile-de-France, France",,,,http://www.icosa.fr/contact/,,
"i2E, Inc.",Booth 1149,"Oklahoma City, Oklahoma, United States",,,,http://i2E.org,We provide advisory services and access to capital for Oklahoma start ups.,"VC/PE, Incubator/Technology Park"
i+MED S.COOP.,Booth 443,"Vitoria-Gasteiz, Spain",,https://es.linkedin.com/company/i-mas-med,,https://imasmed.com/en/home-english/,"i+Med is a biomedical engineering company devoted to the research, development and manufacturing of biomedical devices and innovative medicines with high added value.","Preclinical, Clinical, Market - Drug (on patent), Market - Generics/OTC, Drug Delivery Device, CMO, Distributor"
Icosagen Therapeutics,Booth 3145,"Kambja vald, Tartumaa, Estonia",,,,https://www.icosagen.com/,,
"i&i Prague, s.r.o.",Booth 2075,"Praha 6, Czech Republic",,,,http://www.iniprague.com,,"VC/PE, Tech Transfer"
I am BIO Studio,Booth 142,"Washington, District of Columbia, United States",,,,http://bio.org,,
Immugenia Inc.,Booth 2049,"Sherbrooke, Quebec, Canada",,,,https://immugenia.com,"Immugenia Inc. is a Canadian, immuno-oncology company developing a novel approach to CAR therapy by engineering hematopoietic stem cells to treat cancer and prevent relapses, potentially for life. Unlike existing CAR-T or CAR-NK therapies, our proprietary specific synthetic promoters’ technology allows for the CAR to be expressed selectively in both T and NK cells from one treatment, in order to leverage their synergistic immune activity, as nature intended, against cancer.",
Imec,Booth 1664,"Leuven, Belgium",https://twitter.com/imec_int,https://www.linkedin.com/company/imec/,,http://www.imec-int.com,"At imec, we shape the future.","Research Technology, Research Institute"
Innoland Biosciences (Suzhou),Booth 2275,"Suzhou, Jiangsu, China",,https://www.linkedin.com/in/%E4%BC%9F%E5%8D%8E-%E5%AE%8B-1629ba271/?locale=en_US,,https://www.innoland.bio/index.php,"InnolandBio (Suzhou) was founded in 2021 and is mainly engaged in pre-clinical CRO service. The predecessor of InnolandBio (Suzhou) was the Cardiovascular and Metabolic Diseases Department of CrownBio Ltd. The very same team has 13 years of experience in pre-clinical pharmacological efficacy and toxicological evaluation, especially in the field of cardiovascular and metabolic diseases, and has been well recognized by world-renowned pharmaceutical companies. InnolandBio (Suzhou) now has the world’s largest cohort of non-human primates with spontaneous metabolic diseases, and has established various animal models of diabetes and the related complications, such as eye diseases and aging related diseases, etc. InnolandBio is dedicated to continuously providing top quality service to the global pharmaceutical research and development.","Preclinical, CRO & Analytical Labs"
INOVOTION,Booth 1675,"La Tronche, Auvergne-Rhone-Alpes, France",,https://www.linkedin.com/company/inovotion/,,http://inovotion.com,INOVOTION is a biotech company which offers you a unique in vivo technology dedicated to oncology and immuno-oncology efficacy studies and early toxicity evaluations.,CRO & Analytical Labs
Inovatie,Booth 1751,"São Paulo, São Paulo, Brazil",,,https://www.facebook.com/Inovatie.Saude,https://www.inovatie.net.br/,Clinical and Regulatory support for entering the Brazilian Market.,"CRO & Analytical Labs, Consulting, Marketing/Market Research"
Innovations- und Gründerzentrum Würzburg Betriebsgesellschaft BioMed/ZmK GmbH,Booth 1435,"Würzburg, Germany",,,,http://www.igz.wuerzburg.de,"The Innovation- and Entrepreneurship Center (IGZ) Wuerzburg is one of the largest start-up centers in northern Bavaria (Germany) and offers technology-oriented startups - with a focus in life sciences - 2,500 m2 of laboratory and 3,000 m2 of office space at favorable rental conditions. With a free further training program and a comprehensive range of advice and support from the start-up consultants of the IGZ Wuerzburg, the teams are intensively supported in the successful development of their start-up.","Tech Transfer, Incubator/Technology Park"
"INDUNIV / Industry University Research Center, Inc.",Booth 2335,"SAN JUAN, Puerto Rico, United States",https://twitter.com/induniv,https://https://www.linkedin.com/company/induniv/?originalSubdomain=pr,https://www.facebook.com/Industry-University-Research-Center-INDUNIV-163243093716668/,http://www.induniv.org,"Founded in 1985, INDUNIV Research Center, Inc. is a nonprofit organization [IRC Section 501(c)(3)], members supported consortium that promotes and catalyzed effective collaboration among the sectors of academia, industry and government. These efforts are directed towards stimulating knowledge base capabilities, particularly to encourage growth in the life sciences. INDUNIV advances understanding of the pharmaceutical and bioscience development fields; facilitates collaboration between industry, government and academia; develops strategies and road maps to formulate public policy and advocates their implementation. It is a relentless promoter and facilitator for the development of centers of excellence, technology zones and incubators to foster the way in the value chain for the innovation through commercialization of products. In this manner, enhancing Puerto Rico’s competitiveness and making it more visible for attracting manufacturing and research & development activities. INDUNIV is the BIO-CSBA affiliate organization for Puerto Rico.","Clinical, Patient Monitoring Device, Bioinformatics, Digital Health, Energy (Biofuels), Crop Production & enhancement, Angel or Family Office, CRO & Analytical Labs, Incubator/Technology Park, Associations"
INCOG BioPharma Services,Booth 3075,"Fishers, Indiana, United States",,https://www.linkedin.com/company/incog-biopharma/,,http://www.incogbiopharma.com,Designed to deliver better. Discover the INCOG way.,CMO
Innovation Agency Lithuania,Booth 2455,"Vilnus, Lithuania",,,,http://www.innovationagency.lt,,
Innovation Works,Booth 1935,"Pittsburgh, Pennsylvania, United States",https://twitter.com/iwpgh,https://www.linkedin.com/company/innovation-works/,,http://innovationworks.org,,Regional/Economic Development
Innoforce Pharmaceuticals,Booth 2275,"Hangzhou, Zhejiang, China",,,,,,
Innovative Medicines Canada,Booth 2049,"Ottawa, Ontario, Canada",,,,http://imc-mnc.ca,,
Insilico Medicine,Booth 2674,"New York, New York, United States",,,,http://www.insilico.com,"We are an end-to-end, artificial intelligence-driven pharma-technology company with a mission to accelerate drug discovery and development by leveraging our rapidly evolving, proprietary platform across biology, chemistry, and clinical development. Our Pharma.AI platform has the potential to rapidly bring novel breakthrough medicines to patients while decreasing costs and increasing probabilities of success.","Preclinical, Clinical, Market - Drug (on patent), Research Technology, Bioinformatics, CRO & Analytical Labs"
Industrial Technology Research Institute (ITRI),Booth 843,"Hsinchu, Taiwan",,,,https://www.itri.org.tw/english/index.aspx,,
ImmunSkills SA,Booth 1743,"Monthey, Valais, Switzerland",,,,,ImmunSkills is a Swiss-based biotech start up with a mission to revolutionize cancer treatment. Our platform technology involves genetically modifying allogeneic natural killer cells to resist the tumor microenvironment (TME) and improve therapeutic outcomes in solid tumor patients.,CMO
INHATARGET THEAPEUTICS,Booth 1664,"GOSSELIES, Belgium",,,,http://www.inhatarget.com,,
ImmunoPrecise Antibodies,Booth 3057,"Fargo, North Dakota, United States",https://twitter.com/ImmunoPrecise,https://www.linkedin.com/company/immunoprecise-antibodies-ltd.,https://www.facebook.com/ImmunoPreciseAntibodies/,http://www.ipatherapeutics.com,"ImmunoPrecise Antibodies Ltd. has several subsidiaries in North America and Europe including entities such as Talem Therapeutics LLC, Biostrand BV, ImmunoPrecise Antibodies (Canada) Ltd. and ImmunoPrecise Antibodies (Europe) B.V. (collectively, the “IPA Family”). The IPA Family is a biotherapeutic research and technology group that leverages systems biology, multi-omics modeling and complex artificial intelligence systems to support its proprietary technologies in bioplatform-based antibody discovery. Services include highly specialized, full-continuum therapeutic biologics discovery, development, and out-licensing to support its business partners in their quest to discover and develop novel biologics against the most challenging targets.","Preclinical, Clinical, Research Technology, Bioinformatics, CRO & Analytical Labs"
Incircular,Booth 1575,"Amsterdam, Netherlands",,,,http://incircular.com,,
InCephalo,Booth 1743,"Allschwil, Basel-Landschaft, Switzerland",,,,,,
InSCREENeX,Booth 1545,"Braunschweig, Germany",,,,http://inscreenex.com,,
"iNtRON Biotechnology, Inc.",Booth 2464,"Seongnam-si, Korea, Republic of",,,,http://www.intodeworld.com,"iNtRON (www.iNtODEWORLD.com) is a bio-new drug developing venture company and a leader in bacteriophage-based technology for human with aim to develop and investigate into the 'Immune & Immunotherapeutics' market. While pursuing global research and business development (R&BD) investments since the foundation and accelerated development after entering its IPO in KOSDAQ, the company honed in on innovating BIO New Drugs by developing various 'First-in-Class"" and ""First-in-Concept' bio-drugs and conducting clinical studies in phases. The Company is committed to development of innovative innovation in the infectious diseases and 'Immune & Immunotherapeutics' area.","Preclinical, Clinical, Animal Health & Research"
Inventage Lab Inc,Booth 2449,"Seongnam, Korea, Republic of",,,,http://www.inventagelab.com,,"Preclinical, Clinical, Market - Drug (on patent), Drug Delivery Device, Animal Health & Research"
Invest In Canada,Booth 2149,"Ottawa, Ontario, Canada",,,,http://investcanada.ca,,
Invest Northern Ireland,Booth 2348,"Belfast, United Kingdom",https://twitter.com/InvestNI,https://www.linkedin.com/company/invest-northern-ireland/,https://www.facebook.com/investni,http://www.investni.com,"As the regional business development agency for Northern Ireland, Invest Northern Ireland’s role is to grow the local economy. We do this by helping new and existing businesses to compete internationally, and by attracting new investment to Northern Ireland.",
Intravacc,Booth 838,"Bilthoven, Netherlands",https://twitter.com/Intravacc,https://www.linkedin.com/company/intravacc/,,http://www.intravacc.nl,"Intravacc is an established independent CDMO with years of experience in developing and optimizing vaccines for infectious diseases and therapeutic vaccines, which has transferred its technology worldwide for vaccines against polio, measles, diphtheria, Hib, and influenza. Around 30% of childhood disease vaccines are based on Intravacc’s technology and knowhow. Intravacc offers a wide range of expertise for independent vaccine development, from concept to Phase I/II clinical studies, for customers around the world. Intravacc continues to capitalize on the critical global trends in healthcare: the ever-growing need for prevention and intervention for infectious diseases and cancer. Our innovative vaccine platforms and vaccine contract development and manufacturing capabilities are well positioned to address the unmet needs in the vaccine and immune therapy market which is currently estimated at $37 billion in 2021 and is expected to grow at a compound annual growth rate (CAGR) of 6.6% to $55 billion by 2027. The company’s head office is located on the Utrecht Science Park location Bilthoven, The Netherlands, and has state-of-the-art laboratories and GMP production facilities. Intravacc B.V. is a limited liability company incorporated under Dutch law. Intravacc is a state holding company since 1 January 2021, under the Ministry of Health, Welfare and Sports (VWS).","Preclinical, Research Technology, CRO & Analytical Labs, CMO, Tech Transfer, Research Institute"
intoDNA,Booth 1484,"Krakow, Poland",,https://www.linkedin.com/company/intodna/,,http://www.intodna.com,"intoDNA provides its proprietary STRIDE technology for highly sensitive, direct, in situ detection of DNA damage. STRIDE combined with comprehensive solutions and expertise supports DDR targeted therapy development. The technology can be applied to a variety of biological materials at any stage of the drug development pipeline to enrich biopharmaceutical research.","Molecular/Cellular Diagnostics, Research Technology, CRO & Analytical Labs"
International Drug Development Institute,Booth 1664,"Ceroux-Mousty, Belgium",http://twitter.com/IDDI_Official,https://www.linkedin.com/company/iddi,https://www.facebook.com/pages/IDDI/198595710351269,http://www.iddi.com,"IDDI is a Biometrics CRO offering strategic-level consultancy to optimize Biotechs' clinical development program even in clinical trials with complex settings, a Randomization and Trial Supply Management (RTSM) platform and services associated, Clinical Data Management services including EDC systems and SDTM and Biostatistics services including interim and final analyses, IDMC, ISS/ISE, etc.",CRO & Analytical Labs
ImunoTera,Booth 1751,"São Paulo, São Paulo, Brazil",https://twitter.com/imunotera,https://www.linkedin.com/company/imunotera,https://www.facebook.com/imunotera,http://www.imunotera.com.br,"ImunoTera was founded by three researchers who developed a platform of therapeutic vaccines capable of restoring and activating the immune system to fight infectious diseases and cancer. The platform is based on a dual-function recombinant protein that can be engineered to target different types of cancer and infectious diseases. This system acts by antigen-loading and activating dendritic cells leading to the generation of target-specific cytotoxic T lymphocytes (CTL), while blocking immunosuppressive pathways. The pipeline so far includes therapeutic vaccines to control HPV-related cancer, HIV, ZIKV, and SARS-CoV-2. Our company has been pursuing therapeutic strategies targeting HPV-induced tumors such as cervical and head and neck cancers Our first product, the TERAH-7 is currently being applied in an experimental clinical showing complete regression of CIN, and HPV clearance and avoiding the need for surgery in some treated patients. In 2020, ImunoTera was one of the winners of the Innovative Women Award promoted by the Financier of Studies and Projects (Finep) related to the Brazilian Ministry of Science and Technology. In 2023, ImunoTera was Top 30 in Latin America finalists for the Bayer Foundation Women Empowerment Award. Currently, ImunoTera is part of the portfolio of companies incubated at Hospital Israelita Albert Einstein, considered the best hospital in Latin America.","Preclinical, Clinical, Market - Drug (on patent), Research Technology"
Immuto Scientific,Booth 3165,"Madison, Wisconsin, United States",,https://www.linkedin.com/company/immuto-scientific/,,http://www.immutoscientific.com,"Immuto Scientific provides a powerful new patented platform for better, faster analysis of protein structures, motion, and dynamics, enabling breakthrough therapeutic discoveries and development. Via our proprietary platform, we generate detailed, native-state structures at amino acid-level resolution for any protein or peptide, alone or in a complex, enabling structure-based drug design, screening, and lead optimization - for any therapeutic modality.",
Invest In Tuscany,Booth 2065,"Firenze, Florence, Italy",https://twitter.com/investintuscany,https://www.linkedin.com/company/invest-in-tuscany,https://www.facebook.com/investintuscany,http://investintuscany.com,"Invest in Tuscany is the network of public partners promoted by the Tuscany Regional Government, in collaboration with the municipalities, whose aim is to promote Tuscany as a key investment destination and to attract and retain industrial investments in the region.",
Intrials Clinical Research,Booth 1751,"Sao Paulo, São Paulo, Brazil",,,,http://intrials.com.br,,
intoDNA,Booth 3453,"Krakow, Poland",,,,http://www.intodna.com,,
Intelliseq,Booth 3453,"Kraków, Poland",,,,http://intelliseq.pl,,
Invest Puerto Rico,Booth 2335,"San Juan, Puerto Rico, United States",https://twitter.com/investpr,https://www.linkedin.com/company/investpr/,https://www.facebook.com/InvestPuertoRico,http://investpr.org,"Invest Puerto Rico is writing a new chapter in investment and new business attraction leading a global marketing effort to drive job creation, and facilitate high-value investment on the Island. We help companies, investors and entrepreneurs execute on opportunities to relocate, invest, and grow taking advantage of Puerto Rico’s talent, benefits, and incentives.","Consulting, Marketing/Market Research, Associations"
Instituto Butantan,Booth 1751,"São Paulo, São Paulo, Brazil",,,,https://en.butantan.gov.br/,"Instituto Butantan is a century-old Brazilian institution focused on the research and development of biological medicines for public health. Currently, the institution is responsible for providing 65% of all vaccines and 100% of the antivenoms and antitoxins distributed by the public health system in Brazil. Regarding the production of vaccines, there are eight products supplied to the Ministry of Health, whose current production capacity is the result of internal development of processes for obtaining vaccine antigens, in addition to technology transfer and Productive Development Partnerships (PDPs) between Butantan and external laboratories. Besides the vaccines against hepatitis A and B, rabies, DTaP and HPV, Butantan supplies the trivalent seasonal influenza vaccine. In 2022, Butantan delivered 80 million doses of this vaccine, and in 2021, the institution was certified by the WHO for the supply of the trivalent seasonal influenza vaccine to other countries in need, through the Pan American Health Organization (PAHO, a branch of the WHO). According to the latest Global Vaccine Market Report released by the WHO in November 2022, the institute has reached the ranking of the top 10 vaccine manufacturers in the world.","Preclinical, Clinical, Market - Drug (on patent), Research Technology, CRO & Analytical Labs, CMO, Consulting, Research Institute"
Invest South Australia,Booth 2765,"Adelaide, South Australia, Australia",,https://www.linkedin.com/company/depttradeinvestment/mycompany/,,https://invest.sa.gov.au/sectors/health,"Invest South Australia is the State's economic agency. Access the Australian Advantage to accelerate your drug development program with fast, quality clinical trials. Manufacture your drug or device. Tap into our connected health innovation ecosystem.",
InVivo Biosystems,Booth 3355,"Eugene, Oregon, United States",,,,http://invivobiosystems.com,,
Invest Quebec,Booth 2049,"Montreal, Quebec, Canada",,,,http://investquebec.com,,
Jagiellonian Center of Innovation LLC,Booth 3453,"Krakow, Poland",,,,http://jci.pl,,
Insphero AG,Booth 1743,"Schlieren, Zurich, Switzerland",,,,http://insphero.com,,
Invest Ontario,Booth 2149,"Toronto, Ontario, Canada",,,,,,
InSilicoTrials,Booth 2065,"Trieste, Trieste, Italy",,,,http://insilicotrials.com,,
"J-Pharma Co., Ltd.",Booth 1353,"Yokohama, Kanagawa, Japan",,https://www.linkedin.com/company/j-pharma/mycompany/,,https://www.j-pharma.com/en/,"J-Pharma is a biotech venture established based on technologies developed at Kyorin University. The company is developing a novel drug by leveraging its intellectual properties related to cell membrane transport proteins. Currently, J-Pharma is focusing on LAT1, an essential amino acid transporter, as its primary drug discovery target. The company has two LAT1 inhibitors in its development pipeline. It is known that LAT1 is specifically expressed on cancer cells, and its expression is highly correlated with cancer malignancy and prognosis.",Clinical
INSTITUTO BIOLÓGICO CONTEMPORÁNEO S.A.,Booth 2949,"Ciudad de Buenos Aires, Ciudad de Buenos Aires, Argentina",,,,http://www.ibclab.com.ar,,
IVIM Technology,Booth 3285,"Daejeon city, Korea, Republic of",,https://www.linkedin.com/company/ivim-technology/mycompany/?viewAsMember=true,https://www.facebook.com/IVIM-Technology-109589461303092,http://www.ivimtech.com,Global No.1 solution provider of IntraVital Microscopy,"Molecular/Cellular Diagnostics, Drug Delivery Device, CRO & Analytical Labs"
ITR Laboratories Canada Inc,Booth 2871,"Montreal, Quebec, Canada",,https://www.linkedin.com/company/itr-laboratories-canada-inc.,,http://www.itrlab.com,"Located in Montreal, Canada, ITR Laboratories is a full service CRO offering nonclinical toxicology testing for developing drugs. ITR's GLP-compliant safety testing services can support your next product registration effort in any global market.","Preclinical, CRO & Analytical Labs"
Italian Trade Agency,Booth 2065,"Roma, Rome, Italy",https://twitter.com/ITAtradeagency,https://www.linkedin.com/company/itaitaliantradeagency,https://www.facebook.com/italosangeles,http://www.ice.it/en,"ITA - Italian Trade Agency is the Governmental agency that supports the business development of our companies abroad and promotes the attraction of foreign investment in Italy, through ""Invest in Italy"", a project operated with Invitalia.",
JelloX Biotech Inc.,Booth 843,"Hsinchu County, Taiwan",https://twitter.com/jellox_inc,,https://www.facebook.com/profile.php?id=100083329575482,Yen-Yin Lin,"JelloX Biotech Inc. is a startup company focusing on open innovation in translating 3D digital pathology imaging with AI-empowered analysis into precision diagnosis solution. Proprietary technologies enable 3D image-inspired AI models to facilitate spatial feature recognition and 3D pathology parameters including recent publication of lung cancer PD-L1 biomarker profiling for 3D TPS evaluation with better concordance to IO drug treatment outcome, and prostate cancer whole lumen morphology for 3D Gleason scoring with rapid process. We have developed perineural invasion AI model for oral cancer, and H&E image-based fluorescence nuclear detection AI model for breast cancer. JelloX 3D + AI solution is compatible with current pathology workflow allowing subsequent H&E, IHC, and genetic tests to establish an innovative Panoramic Pathology Platform in support of multidimensional tumor atlas analyses. Meanwhile, JelloX MetaLite software with CPU-based edge AI solution has become Intel Market Ready Solution for partnership in business development. JelloX digital pathology platform with federated learning (FL) modules is integrated with Roche Diagnostic system as a powerful AI+FL solution for smart hospital and modern reference lab in support of precision medicine and drug development. JelloX Biotech is now seeking for partnership to boost global market penetration and company valuation.",
Japan Medical Device Corporation,Booth 1353,"Kanagawa, Japan",https://twitter.com/jmd_corporation,,https://www.facebook.com/jmd.corporation/,https://jmd-corp.com/,We are in the business of developing heart simulators. “Heart simulation” is the world’s best technology to reproduce an individual heart virtually from modality information such as CT and ultrasound as well as clinical information. We utilize the high-performance computing power of the supercomputer for our business. We work on providing a computer simulation service to the medical field an education service to medical personnel by developing an unprecedented “medical device program”.,"Research Technology, Bioinformatics, Digital Health"
Janssen Brasil,Booth 1751,"São Paulo, São Paulo, Brazil",,,,https://www.janssen.com/brasil/,,
Iris Biotech GmbH,Booth 1435,"Marktredwitz, Germany",https://twitter.com/irisbiotechgmbh,https://de.linkedin.com/company/iris-biotech-gmbh,https://www.facebook.com/irisbiotechgmbh/,https://www.iris-biotech.de,"Iris Biotech is providing high quality products for the fields peptide synthesis, linkerology, drug delivery, and life sciences in flexible quantities from research scale to commercial production, for academia as well as industry.","Preclinical, Market - Drug (on patent), Drug Delivery Device, Research Technology, Supplies, Crop Production & enhancement, Distributor, University (Faculty), Research Institute"
